Date,Price,Open,High,Low,Vol.,Change %
5/13/2015,47.5,47.7,47.7,46.8,1.86K,0.85%
5/14/2015,46.5,47.5,47.8,46.5,6.51K,-2.11%
5/15/2015,47.5,48.0,49.9,47.5,104.90K,2.15%
5/18/2015,47.9,47.8,48.9,47.8,9.31K,0.84%
5/19/2015,47.9,48.5,48.5,47.9,5.86K,0.00%
5/20/2015,47.0,48.0,48.4,45.0,10.88K,-1.88%
5/21/2015,47.0,47.9,47.9,46.0,5.55K,0.00%
5/22/2015,47.0,46.1,47.0,46.1,0.28K,0.00%
5/25/2015,46.5,47.9,47.9,46.2,2.17K,-1.06%
5/26/2015,47.5,46.6,47.5,46.5,2.42K,2.15%
5/27/2015,47.5,46.5,47.5,46.5,29.21K,0.00%
5/28/2015,47.5,47.9,48.5,47.0,25.43K,0.00%
5/29/2015,47.1,47.9,48.0,47.1,0.35K,-0.84%
6/1/2015,47.0,47.5,47.5,47.0,1.08K,-0.21%
6/3/2015,46.0,47.5,47.5,46.0,18.04K,-2.13%
6/4/2015,46.0,47.0,47.0,45.1,5.33K,0.00%
6/5/2015,46.0,47.5,47.5,45.5,1.19K,0.00%
6/8/2015,45.2,47.0,47.0,45.1,0.70K,-1.74%
6/9/2015,46.8,46.9,46.9,45.4,0.71K,3.54%
6/10/2015,45.0,46.5,46.5,45.0,1.71K,-3.85%
6/11/2015,46.4,46.5,46.5,45.0,0.50K,3.11%
6/12/2015,45.0,46.0,46.0,45.0,11.45K,-3.02%
6/15/2015,46.3,45.0,46.3,45.0,16.05K,2.89%
6/16/2015,46.0,46.0,46.0,45.0,0.40K,-0.65%
6/17/2015,46.0,45.0,46.0,45.0,1.90K,0.00%
6/18/2015,46.0,45.9,46.0,45.1,2.13K,0.00%
6/19/2015,45.0,46.0,46.0,45.0,1.21K,-2.17%
6/22/2015,44.5,44.9,44.9,44.5,6.30K,-1.11%
6/23/2015,44.8,44.4,44.8,44.4,0.60K,0.67%
6/24/2015,44.4,45.0,45.0,44.4,7.74K,-0.89%
6/25/2015,44.1,44.3,45.0,44.1,1.17K,-0.68%
6/26/2015,45.0,44.3,45.0,44.3,0.30K,2.04%
6/29/2015,45.0,45.0,45.0,44.0,6.55K,0.00%
6/30/2015,45.0,44.0,45.0,44.0,7.49K,0.00%
7/2/2015,43.4,45.0,45.0,43.4,0.80K,-3.56%
7/3/2015,44.0,44.0,44.9,44.0,18.16K,1.38%
7/6/2015,44.0,44.0,44.9,44.0,53.60K,0.00%
7/7/2015,44.6,44.7,44.7,44.6,0.52K,1.36%
7/8/2015,43.0,43.7,44.0,43.0,3.76K,-3.59%
7/9/2015,43.2,43.3,44.2,43.2,11.38K,0.47%
7/10/2015,45.0,44.2,45.0,44.2,9.12K,4.17%
7/13/2015,46.0,44.9,46.8,44.9,27.60K,2.22%
7/14/2015,48.0,46.0,48.0,44.6,43.29K,4.35%
7/15/2015,49.5,47.9,49.9,47.9,51.97K,3.13%
7/16/2015,50.0,49.5,50.9,49.0,88.90K,1.01%
7/17/2015,50.0,50.0,50.8,48.8,71.14K,0.00%
7/20/2015,49.8,50.0,50.0,47.9,17.74K,-0.40%
7/21/2015,49.5,49.8,49.8,49.5,0.21K,-0.60%
7/22/2015,49.7,49.2,49.9,48.1,5.33K,0.40%
7/23/2015,48.9,49.8,49.8,47.9,2.89K,-1.61%
7/24/2015,49.6,49.7,49.7,49.6,2.51K,1.43%
7/27/2015,49.4,48.9,49.7,47.5,4.86K,-0.40%
7/28/2015,49.0,49.4,49.4,47.5,1.41K,-0.81%
7/29/2015,48.9,47.3,49.0,47.3,3.15K,-0.20%
7/30/2015,48.0,49.0,49.0,47.5,90.59K,-1.84%
8/3/2015,48.0,48.7,48.7,47.6,0.62K,0.00%
8/4/2015,47.9,49.0,49.0,47.0,2.04K,-0.21%
8/5/2015,48.0,49.0,49.0,48.0,1.61K,0.21%
8/6/2015,48.0,49.0,49.0,47.0,3.10K,0.00%
8/7/2015,47.0,47.5,48.4,47.0,8.16K,-2.08%
8/10/2015,47.0,48.0,48.0,47.0,1.15K,0.00%
